seed,step,adv_Defer_Job,adv_Scale_Up,adv_Scale_Down,adv_Reprioritize_Queue,adv_Pause_LowPriority_Job
200,0,-0.2933,-0.2933,-0.2933,-0.2809,-0.2905
200,30,0.0,2.4099,-0.0422,-0.2027,0.1344
200,60,0.0,2.3599,-0.0422,-0.2027,0.1344
200,90,0.0,2.983,-0.0701,0.1863,0.1344
200,120,0.0,3.0476,-0.0701,0.1863,0.1344
200,150,0.0,2.8267,-0.0701,0.1863,0.0814
200,180,0.0,4.0429,0.0189,-0.0391,0.0958
200,210,0.0,4.2176,0.0,0.0,0.1882
200,240,0.0,3.6857,0.0,0.0,0.0
200,270,0.0,2.24,0.0,0.0,0.0
201,0,-2.7797,-2.7797,-2.7797,-2.7797,-1.4896
201,30,0.0,7.4327,0.0,0.0,1.0535
201,60,0.0,8.8381,0.0,0.0,1.2284
201,90,0.0,8.3699,0.0,0.0,1.1701
201,120,0.0,8.5858,0.0,0.0,1.1966
201,150,0.0,6.5897,0.0,0.0,0.9369
201,180,0.0,6.4412,0.0,0.0,0.9104
201,210,0.0,7.3084,0.0,0.0,1.0376
201,240,0.0,6.6509,0.0,0.0,0.9475
201,270,0.0,7.64,0.0,0.0,1.0678
202,0,-3.2951,-3.2951,-3.9586,-3.2951,-3.2951
202,30,0.0,16.0607,0.0,0.0,0.0
202,60,0.0,14.5899,0.0,0.0,0.0
202,90,0.0,18.6269,0.0,0.0,0.0
202,120,0.0,17.4489,0.0,0.0,0.0
202,150,0.0,13.9021,0.0,0.0,0.0
202,180,0.0,9.5689,0.0,0.0,0.0
202,210,0.0,7.8567,0.0,0.0,0.0
202,240,0.0,6.7016,0.0,0.0,0.0
202,270,0.0,1.7297,0.0,0.0,0.0
203,0,-2.8209,-2.8209,-2.6622,-3.4883,-2.8078
203,30,0.0,0.0,-0.0018,0.0,0.0
203,60,0.0,0.0,-0.0018,0.0,0.0
203,90,0.0,0.0,-0.0018,0.0,0.0
203,120,0.0,0.0,-0.0018,0.0,0.0
203,150,0.0,0.0,-0.0018,0.0,0.0
203,180,0.0,0.0,0.0,0.0,0.0
203,210,0.0,0.0,0.0,0.0,0.0
203,240,0.0,0.0,0.0,0.0,0.0
203,270,0.0,0.0,0.0,0.0,0.0
204,0,1.3497,1.3497,1.345,1.3545,7.507
204,30,0.0,11.6736,0.0,0.0,5.0945
204,60,0.0,12.5448,0.0,0.0,3.016
204,90,0.0,15.0644,0.0,0.0,3.4422
204,120,0.0,13.3473,0.0,0.0,3.3681
204,150,0.0,11.4093,0.0,0.0,0.9787
204,180,0.0,9.0807,0.0,0.0,1.0019
204,210,0.0,8.066,0.0,0.0,0.5494
204,240,0.0,7.6512,0.0,0.0,0.0
204,270,0.0,7.6512,0.0,0.0,0.0
