tau,rl_frac_ge,reflex_frac_ge
54.913,1.0,1.0
59.694,0.988,0.992
64.474,0.988,0.988
69.255,0.984,0.984
74.035,0.972,0.964
78.816,0.952,0.948
83.596,0.936,0.932
88.376,0.892,0.916
93.157,0.864,0.888
97.937,0.824,0.856
102.718,0.78,0.828
107.498,0.712,0.752
112.279,0.636,0.688
117.059,0.592,0.632
121.84,0.524,0.576
126.62,0.484,0.524
131.4,0.408,0.48
136.181,0.372,0.436
140.961,0.308,0.376
145.742,0.28,0.316
150.522,0.232,0.256
155.303,0.172,0.164
160.083,0.124,0.128
164.864,0.104,0.104
169.644,0.064,0.056
174.424,0.036,0.036
179.205,0.024,0.032
183.985,0.012,0.016
188.766,0.004,0.012
193.546,0.004,0.004
