seed,rl_completion,reflex_completion,rl_failed,reflex_failed,rl_steps,reflex_steps,rl_execute_noops,reflex_scale_up,reflex_scale_down,reflex_defer,effect_agreement
200,0.55,0.55,23,21,300,300,27,5,0,0,0.87
201,0.67,0.67,12,12,300,300,23,2,0,4,0.96
202,0.67,0.67,11,11,300,300,34,0,0,11,0.9633
203,0.64,0.61,16,18,300,300,21,7,0,0,0.8933
204,0.63,0.62,16,17,300,300,24,2,0,2,0.9767
205,0.55,0.54,23,24,300,300,29,9,0,3,0.89
206,0.61,0.61,15,15,300,300,24,3,0,2,0.9833
207,0.63,0.66,13,15,300,300,37,7,0,0,0.83
208,0.62,0.62,10,10,300,300,40,1,0,12,0.9567
209,0.62,0.6,19,21,300,300,26,5,0,0,0.8633
210,0.68,0.68,13,13,300,300,21,2,0,3,0.9833
211,0.64,0.66,16,10,300,300,24,3,0,1,0.8933
212,0.63,0.65,20,11,300,300,20,6,0,3,0.88
213,0.68,0.66,14,12,300,300,18,4,0,2,0.92
214,0.61,0.62,19,19,300,300,24,4,0,0,0.93
215,0.64,0.64,15,15,300,300,27,4,0,1,0.9833
216,0.64,0.63,9,10,300,300,36,4,0,5,0.94
217,0.59,0.59,21,21,300,300,24,0,0,2,0.9933
218,0.6,0.6,16,16,300,300,32,0,0,7,0.9767
219,0.63,0.64,16,12,300,300,30,5,0,7,0.8767
220,0.67,0.67,11,11,300,300,27,7,0,0,0.88
221,0.6,0.6,24,24,300,300,20,1,0,1,0.9933
222,0.63,0.63,17,17,300,300,25,2,0,2,0.9867
223,0.56,0.6,23,15,300,300,33,9,0,0,0.8067
224,0.6,0.65,16,12,300,300,40,4,0,4,0.8033
225,0.64,0.64,18,18,300,300,18,1,0,4,0.9833
226,0.63,0.63,12,12,300,300,29,1,0,6,0.9767
227,0.67,0.66,10,11,300,300,30,6,0,3,0.91
228,0.71,0.71,8,8,300,300,18,3,0,1,0.9867
229,0.63,0.63,16,16,300,300,30,3,0,0,0.99
230,0.62,0.62,20,20,300,300,22,2,0,0,0.9933
231,0.59,0.63,19,18,300,300,21,4,0,0,0.9367
232,0.62,0.62,15,15,300,300,33,2,0,1,0.99
233,0.64,0.64,9,11,300,300,34,3,0,2,0.9667
234,0.66,0.64,9,9,300,300,30,6,0,2,0.9233
235,0.68,0.68,11,11,300,300,20,2,0,0,0.9933
236,0.6,0.64,14,11,300,300,32,3,0,2,0.93
237,0.62,0.64,13,10,300,300,29,6,0,0,0.8433
238,0.62,0.62,15,15,300,300,23,1,0,5,0.98
239,0.59,0.59,19,19,300,300,22,4,0,0,0.98
240,0.64,0.64,13,13,300,300,28,2,0,8,0.9667
241,0.58,0.58,22,22,300,300,35,3,0,3,0.98
242,0.66,0.68,7,5,300,300,35,2,0,3,0.8967
243,0.66,0.66,13,13,300,300,27,2,0,8,0.9667
244,0.63,0.62,15,17,300,300,25,5,0,0,0.8633
245,0.63,0.65,11,12,300,300,33,6,0,0,0.91
246,0.64,0.66,11,11,300,300,35,5,0,2,0.8933
247,0.6,0.6,23,23,300,300,25,2,0,0,0.9533
248,0.64,0.65,12,11,300,300,30,4,0,1,0.96
249,0.66,0.66,14,14,300,300,23,2,0,4,0.98
