update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,300,4.866599999999999,1.994713400765873,-0.001559619908221066,1.7898329496383667,-0.019457949325442314,0.08640966564416885,471,471
1,0,20,120,300,6.482399999999999,3.4704698146100954,0.021102702245116234,1.789508581161499,0.0032076165080070496,0.4136025607585907,301,772
2,0,20,120,300,7.738849999999999,4.3325334422434745,-0.004869702737778425,1.7900744676589966,-0.02277044765651226,0.13047979772090912,568,1340
3,0,20,120,300,5.302899999999999,2.685039641355202,0.004502782132476568,1.790249228477478,-0.013399709016084671,0.14483003318309784,583,1923
4,0,20,120,300,5.570099999999998,2.5320674173744546,-0.0036098514683544636,1.7905025482177734,-0.021514875814318657,0.3670693635940552,452,2375
5,0,20,120,300,2.0290999999999997,1.4713023192066972,0.003295710776001215,1.7904597520828247,-0.01460888609290123,0.4856443405151367,61,2436
6,0,20,120,300,4.424049999999999,2.175378996160797,0.0048503573052585125,1.790590524673462,-0.013055546209216118,0.41177916526794434,189,2625
7,0,20,120,300,3.6793,2.3922912164932555,-0.00827160757035017,1.7906169891357422,-0.026177778840065002,0.5981500744819641,210,2835
8,0,20,120,300,12.601549999999998,4.7517830455378,-0.004361065104603767,1.790554404258728,-0.022266609594225883,0.34228673577308655,797,3632
9,0,20,120,300,6.29845,3.4498664728750636,-0.0019739088602364063,1.7904517650604248,-0.01987842656672001,0.3502030670642853,649,4281
10,0,20,120,300,8.445749999999999,4.147576862036534,-0.010565237142145634,1.7903960943222046,-0.02846919745206833,0.3568183481693268,476,4757
11,0,20,120,300,7.8701,4.5389220067161204,-0.008595051243901253,1.790152668952942,-0.026496578007936478,0.3700405955314636,333,5090
12,0,20,120,300,13.722,5.778023105595169,-0.0008992340881377459,1.7898629903793335,-0.018797865137457848,0.09719814360141754,944,6034
13,0,20,120,300,9.74165,4.814344585745692,0.0023722373880445957,1.7895801067352295,-0.01552356407046318,0.4942002594470978,575,6609
14,0,20,120,300,10.2453,5.379518167753069,-0.0023750695399940014,1.7894054651260376,-0.0202691238373518,0.23161862790584564,508,7117
15,0,20,120,300,13.3886,6.486667858718949,0.003956994041800499,1.7891474962234497,-0.013934480026364326,0.20204688608646393,761,7878
16,0,20,120,300,6.2280999999999995,3.31839098810348,0.0030453051440417767,1.7887914180755615,-0.014842608943581581,0.35839980840682983,297,8175
17,0,20,120,300,7.7107,4.801968644076554,0.02104082889854908,1.7883925437927246,0.0031569041311740875,0.3829771876335144,187,8362
18,0,20,120,300,10.60165,5.884348271686852,-0.009756984189152718,1.7884067296981812,-0.02764105051755905,0.29833242297172546,664,9026
19,0,20,120,300,9.3978,4.397693936821343,-0.00608302466571331,1.7879778146743774,-0.023962803184986115,0.23679298162460327,506,9532
20,0,20,120,300,6.119899999999998,2.8856258691445817,-0.010084249079227448,1.7877086400985718,-0.027961334213614464,0.22668679058551788,573,10105
